id,timestamp,x,y,z,label
E,241892286783982,-2.3231506,9.504242,0.7714691,0
E,241892337137985,-2.232666,9.509293,0.77511597,0
E,241892387491989,-2.2182007,9.519974,0.73591614,0
E,241892437845993,-2.1640625,9.516312,0.7459259,0
E,241892488199997,-2.1035614,9.523972,0.7528229,0
E,241892538554001,-2.1011658,9.550766,0.7825012,0
E,241892588908005,-2.100769,9.512314,0.8082428,0
E,241892639262009,-2.139267,9.506989,0.7600403,0
E,241892689616013,-2.1984406,9.491592,0.7611542,0
E,241892739970017,-2.1966095,9.497971,0.7346649,0
E,241892790324021,-2.1414185,9.548325,0.77682495,0
E,241892840678025,-2.1670074,9.521698,0.81970215,0
E,241892891032028,-2.1370697,9.526688,0.7484436,0
E,241892941386032,-2.1156769,9.5616,0.73339844,0
E,241892991740036,-2.1626282,9.481293,0.7263336,0
E,241893042094040,-2.1524353,9.489944,0.7711029,0
E,241893092448044,-2.1099396,9.570343,0.77334595,0
E,241893142802048,-2.1346893,9.557861,0.6976471,0
E,241893193156052,-2.1895905,9.545807,0.7306824,0
E,241893243510056,-2.2134705,9.501984,0.6683502,0
E,241893293864060,-2.2284088,9.464645,0.6734314,0
E,241893344218064,-2.1968231,9.590759,0.70106506,0
E,241893394572068,-2.2673645,9.506226,0.64775085,0
E,241893444926071,-2.229889,9.508423,0.68873596,0
E,241893495280075,-2.1954803,9.524902,0.7073517,0
E,241893545634079,-2.254013,9.534851,0.7472992,0
E,241893595988083,-2.1857758,9.532806,0.67840576,0
E,241893646342087,-2.2105713,9.480621,0.7245331,0
E,241893696696091,-2.2677765,9.499496,0.7168884,0
E,241893747050095,-2.2664032,9.506638,0.6289215,0
E,241893797404099,-2.3913727,9.510315,0.60798645,0
E,241893847758103,-2.266632,9.542648,0.66833496,0
E,241893898112107,-2.2867126,9.505051,0.71954346,0
E,241893948466110,-2.2489471,9.513535,0.60217285,0
E,241893998820114,-2.2790985,9.452057,0.6521759,0
E,241894049174118,-2.245926,9.483856,0.6930237,0
E,241894099528122,-2.240326,9.515579,0.70310974,0
E,241894149882126,-2.2431793,9.515732,0.65174866,0
E,241894200236130,-2.3294983,9.547379,0.5717468,0
E,241894250590134,-2.2739716,9.533493,0.5734253,0
E,241894300944138,-2.3059235,9.460022,0.62498474,0
E,241894351298142,-2.270279,9.521011,0.72320557,0
E,241894401652146,-2.1701965,9.448761,0.73753357,0
E,241894452006150,-2.218872,9.482498,0.7794647,0
E,241894502360153,-2.2588348,9.544998,0.7525635,0
